;2025;2024;2023;2022
D.Y;-%;-%;-%;-%
Div;;;;
P/L;-169.75;-90.56;32.95;20.41
PEG Ratio;-;-;-;-
P/VP;1.702,22;2,20;3,02;2,98
EV/EBITDA;15,48;14,99;12,44;9,08
EV/EBIT;-115,50;-906,38;26,93;17,89
P/EBITDA;15,48;15,69;12,69;9,12
P/EBIT;-115,51;-949,02;27,47;17,97
VPA;0,02;19,49;20,06;18,10
P/Ativo;1.161,76;1,41;1,86;1,65
LPA;-0.21;-0.47;1.84;2.64
P/SR;2,85;3,51;4,54;3,64
P/Cap. Giro;4.952,08;7,04;10,39;12,09
P/Ativo Circ. Liq.;-1.868,58;-2,29;-2,86;-2,45
Dív. líquida/PL;-0,13;-0,10;-0,06;-0,01
Dív. líquida/EBITDA;0,00;-0,71;-0,25;-0,04
Dív. líquida/EBIT;0,01;42,64;-0,55;-0,07
PL/Ativos;0,68;0,64;0,62;0,56
Passivos/Ativos;0,32;0,36;0,38;0,44
Liq. corrente;2,63;2,11;2,04;1,73
M. Bruta;23,76%;24,46%;28,42%;27,61%
M. EBITDA;18,43%;22,40%;35,75%;39,94%
M. EBIT;-2,47%;-0,37%;16,52%;20,26%
M. Líquida;-1,68%;-3,88%;13,77%;17,83%
ROE;-1.002,79%;-2,43%;9,17%;14,59%
ROA;-684,40%;-1,56%;5,64%;8,10%
ROIC;-1.575,11%;-0,89%;8,33%;12,19%
Giro ativos;407,19;0,40;0,41;0,45
CAGR Receitas 5 anos;3,03%;3,59%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%
