;2025;2024;2023;2022
D.Y;0,44%;0,63%;0,97%;-%
Div;1.56;1.41;1.13;
P/L;40.48;18.67;22.83;
PEG Ratio;-9,57;-;-;-
P/VP;7,73;5,32;3,39;-
EV/EBITDA;34,28;10,39;9,31;4,54
EV/EBIT;128,05;15,98;17,44;-33,32
P/EBITDA;31,28;9,06;6,87;-
P/EBIT;116,84;13,94;12,88;-
VPA;45,95;42,09;34,46;33,69
P/Ativo;1,97;1,32;0,73;-
LPA;8.77;11.98;5.12;-0.49
P/SR;4,96;2,97;1,49;-
P/Cap. Giro;26,44;17,81;18,71;-
P/Ativo Circ. Liq.;-2,49;-1,66;-0,87;-
Dív. líquida/PL;0,74;0,78;1,20;0,88
Dív. líquida/EBITDA;3,00;1,33;2,43;4,54
Dív. líquida/EBIT;11,21;2,04;4,56;-33,32
PL/Ativos;0,26;0,25;0,22;0,23
Passivos/Ativos;0,74;0,75;0,78;0,77
Liq. corrente;1,56;1,57;1,31;1,19
M. Bruta;5,81%;25,42%;12,97%;8,74%
M. EBITDA;15,86%;32,76%;21,64%;8,74%
M. EBIT;4,25%;21,31%;11,55%;-1,19%
M. Líquida;12,25%;15,91%;6,51%;-0,65%
ROE;19,09%;28,47%;14,86%;-1,45%
ROA;4,88%;7,08%;3,20%;-0,34%
ROIC;0,05%;15,99%;8,24%;-3,20%
Giro ativos;0,40;0,45;0,49;0,52
CAGR Receitas 5 anos;4,49%;-%;-%;-%
CAGR Lucros 5 anos;27,22%;-%;-%;-%
