;2025;2024;2023;2022
D.Y;-%;-%;-%;-%
Div;;;;
P/L;81.81;69.7;37.97;-20.43
PEG Ratio;-0,83;-;-;-
P/VP;157,09;101,04;10,78;2,07
EV/EBITDA;262,50;48,07;14,00;11,53
EV/EBIT;393,06;59,59;24,63;-182,15
P/EBITDA;260,42;46,89;11,73;7,48
P/EBIT;389,95;58,13;20,64;-118,18
VPA;4,36;3,20;3,70;5,09
P/Ativo;36,50;18,76;2,53;0,67
LPA;8.37;4.65;1.05;-0.52
P/SR;34,91;23,38;4,13;1,40
P/Cap. Giro;95,90;87,76;20,15;2,89
P/Ativo Circ. Liq.;-81,09;-30,96;-3,62;-1,01
Dív. líquida/PL;1,25;2,54;2,08;1,12
Dív. líquida/EBITDA;2,08;1,18;2,27;4,05
Dív. líquida/EBIT;3,11;1,46;3,99;-63,97
PL/Ativos;0,23;0,19;0,23;0,33
Passivos/Ativos;0,77;0,81;0,77;0,67
Liq. corrente;3,25;2,19;1,71;3,35
M. Bruta;25,41%;75,22%;67,74%;55,41%
M. EBITDA;13,41%;49,87%;35,17%;18,69%
M. EBIT;8,95%;40,22%;19,99%;-1,18%
M. Líquida;42,67%;33,55%;10,87%;-6,84%
ROE;192,03%;144,96%;28,39%;-10,13%
ROA;44,62%;26,92%;6,66%;-3,30%
ROIC;6,86%;41,11%;14,45%;-0,89%
Giro ativos;1,05;0,80;0,61;0,48
CAGR Receitas 5 anos;-65,72%;-%;-%;-%
CAGR Lucros 5 anos;-53,96%;-%;-%;-%
