;2025;2024;2023;2022;2021;2020;2019
D.Y;1,47%;-%;0,37%;0,83%;2,81%;-%;-%
Div;0.11;;0.05;0.16;0.37;;
P/L;10.73;9.9;25.76;21.53;10.84;;
PEG Ratio;0,24;-;-;-;-;-;-
P/VP;1,72;1,45;3,95;6,74;6,31;-;-
EV/EBITDA;3,74;3,42;4,65;8,70;7,13;-;-
EV/EBIT;5,25;4,83;8,53;11,59;8,89;-;-
P/EBITDA;1,70;1,40;3,03;6,92;5,42;-;-
P/EBIT;2,38;1,98;5,57;9,22;6,77;-;-
VPA;4,23;3,89;3,43;2,89;2,05;-;-
P/Ativo;0,22;0,17;0,42;0,65;0,76;-;-
LPA;0.68;0.57;0.53;0.9;1.2;;
P/SR;0,13;0,10;0,28;0,48;0,42;-;-
P/Cap. Giro;5,98;55,98;-10,11;-11,74;136,35;-;-
P/Ativo Circ. Liq.;-0,34;-0,26;-0,64;-0,99;-1,24;-;-
Dív. líquida/PL;2,07;2,08;2,10;1,73;1,98;3,05;0,53
Dív. líquida/EBITDA;2,04;2,02;1,61;1,78;1,70;1,13;1,75
Dív. líquida/EBIT;2,86;2,85;2,96;2,37;2,13;2,08;2,23
PL/Ativos;0,13;0,12;0,11;0,10;0,12;0,07;0,20
Passivos/Ativos;0,87;0,88;0,89;0,90;0,88;0,93;0,73
Liq. corrente;1,12;1,01;0,89;0,86;1,01;0,96;0,88
M. Bruta;16,75%;16,56%;16,27%;16,44%;17,05%;16,41%;16,85%
M. EBITDA;7,56%;7,34%;9,07%;6,96%;7,68%;10,56%;7,73%
M. EBIT;5,39%;5,21%;4,94%;5,23%;6,16%;5,74%;6,06%
M. Líquida;1,20%;1,04%;1,07%;2,24%;3,84%;3,88%;3,73%
ROE;16,05%;14,63%;15,33%;31,31%;58,21%;99,15%;14,75%
ROA;2,03%;1,69%;1,64%;3,00%;7,04%;7,43%;2,92%
ROIC;18,58%;16,86%;15,00%;16,59%;21,67%;17,66%;6,89%
Giro ativos;1,70;1,62;1,54;1,34;1,83;1,92;0,78
CAGR Receitas 5 anos;21,32%;21,32%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-2,60%;-5,99%;-%;-%;-%;-%;-%
