;2025;2024;2023;2022;2021;2020;2019;2018
D.Y;7,95%;16,97%;4,56%;2,35%;-%;-%;-%;-%
Div;0.9;2.75;0.99;0.78;;;;
P/L;5.36;10.87;8.99;8.42;26.27;;;
PEG Ratio;1,12;-;-;-;-;-;-;-
P/VP;0,73;1,12;1,41;2,55;2,48;-;-;-
EV/EBITDA;-;-;-;-;-;-;-;-
EV/EBIT;5,71;5,79;9,95;6,96;16,11;-;-;-
P/EBITDA;-;-;-;-;-;-;-;-
P/EBIT;3,96;5,02;9,37;7,72;16,33;-;-;-
VPA;15,55;14,43;15,40;13,00;7,53;-;-;-
P/Ativo;0,42;0,64;0,93;1,47;0,99;-;-;-
LPA;2.11;1.49;2.42;3.94;0.71;;;
P/SR;1,01;1,46;2,26;3,26;4,47;-;-;-
P/Cap. Giro;4,46;5,68;78,09;13,10;-21,95;-;-;-
P/Ativo Circ. Liq.;-0,51;-0,81;-1,12;-2,18;-1,26;-;-;-
Dív. líquida/PL;0,32;0,17;0,09;-0,25;-0,03;0,81;0,72;-0,03
Dív. líquida/EBITDA;-;-;-;-;-;-;-;-
Dív. líquida/EBIT;1,75;0,77;0,58;-0,76;-0,22;3,44;11,38;-0,16
PL/Ativos;0,58;0,57;0,66;0,58;0,40;0,47;0,52;0,83
Passivos/Ativos;0,42;0,43;0,34;0,42;0,60;0,53;0,48;0,17
Liq. corrente;2,16;2,14;1,08;1,53;0,83;0,91;1,07;1,51
M. Bruta;33,99%;36,51%;31,90%;48,44%;35,82%;35,19%;25,46%;37,47%
M. EBITDA;-%;-%;-%;-%;-%;-%;-%;-%
M. EBIT;25,45%;29,05%;24,16%;42,28%;27,35%;29,42%;17,78%;29,90%
M. Líquida;18,81%;13,40%;25,19%;38,76%;17,00%;-10,38%;18,73%;24,34%
ROE;13,59%;10,33%;15,69%;30,27%;9,45%;-8,34%;6,62%;17,30%
ROA;7,85%;5,88%;10,38%;17,52%;3,75%;-3,93%;3,42%;14,42%
ROIC;9,43%;12,78%;11,33%;24,34%;8,72%;10,45%;3,07%;17,29%
Giro ativos;0,42;0,44;0,41;0,45;0,22;0,38;0,18;0,59
CAGR Receitas 5 anos;57,21%;57,21%;56,51%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;57,65%;47,03%;57,59%;-%;-%;-%;-%;-%
