;2025;2024;2023
D.Y;-%;-%;-%
Div;;;
P/L;-7,38;-;-
PEG Ratio;-0,02;-;-
P/VP;0,79;-;-
EV/EBITDA;8,03;-;-
EV/EBIT;12,93;-;-
P/EBITDA;5,74;-;-
P/EBIT;9,25;-;-
VPA;9,49;-;-
P/Ativo;0,35;-;-
LPA;-1,01;-;-
P/SR;0,46;-;-
P/Cap. Giro;2,18;-;-
P/Ativo Circ. Liq.;-0,61;-;-
Dív. líquida/PL;0,31;-0,11;-0,07
Dív. líquida/EBITDA;2,29;-0,44;-0,09
Dív. líquida/EBIT;3,68;-0,64;-0,35
PL/Ativos;0,45;0,45;0,48
Passivos/Ativos;0,55;0,55;0,52
Liq. corrente;1,63;2,00;2,06
M. Bruta;66,33%;66,79%;66,25%
M. EBITDA;7,99%;10,82%;50,64%
M. EBIT;4,96%;7,50%;13,27%
M. Líquida;-6,22%;3,58%;43,14%
ROE;-10,65%;8,26%;68,71%
ROA;-4,78%;3,74%;32,93%
ROIC;2,42%;13,00%;-7,00%
Giro ativos;0,77;1,05;0,76
CAGR Receitas 5 anos;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%
