;2025;2024;2023;2022;2021;2020;2019;2018
D.Y;10,57%;2,54%;1,28%;1,37%;3,26%;-%;-%;-%
Div;4.292625;0.647707;0.369277;0.405307;1.459658;;;
P/L;20,93;15,13;32,26;56,67;57,21;316,57;-;-
PEG Ratio;1,03;-;-;-;-;-;-;-
P/VP;3,53;2,36;2,92;3,16;6,63;9,96;-;-
EV/EBITDA;8,35;5,92;6,63;13,25;21,48;57,95;-;-
EV/EBIT;10,31;7,85;12,34;18,02;28,68;87,84;-;-
P/EBITDA;8,37;5,89;6,35;12,77;18,40;54,64;-;-
P/EBIT;10,34;7,82;11,83;17,37;24,57;82,82;-;-
VPA;11,50;10,79;9,85;9,37;6,76;6,86;-;-
P/Ativo;0,84;0,57;0,73;0,73;1,72;2,97;-;-
LPA;1,94;1,68;0,89;0,52;0,78;0,22;-;-
P/SR;1,72;1,15;1,42;2,95;4,42;9,67;-;-
P/Cap. Giro;2,36;1,74;2,28;2,62;5,38;7,30;-;-
P/Ativo Circ. Liq.;-1,79;-1,14;-1,39;-1,47;-2,95;-5,84;-;-
Dív. líquida/PL;-0,01;0,01;0,13;0,12;1,11;0,60;2,04;1,80
Dív. líquida/EBITDA;-0,03;0,02;0,28;0,48;3,08;3,31;3,05;2,92
Dív. líquida/EBIT;-0,03;0,03;0,51;0,65;4,11;5,02;3,83;3,42
PL/Ativos;0,24;0,24;0,25;0,23;0,26;0,30;0,20;0,23
Passivos/Ativos;0,74;0,74;0,74;0,69;0,72;0,69;0,80;0,76
Liq. corrente;3,11;2,88;3,03;2,75;4,25;5,81;3,61;3,69
M. Bruta;21,02%;18,71%;16,28%;22,63%;23,60%;18,30%;26,13%;25,70%
M. EBITDA;20,49%;19,53%;22,29%;23,07%;24,03%;17,69%;26,16%;24,46%
M. EBIT;16,58%;14,71%;11,97%;16,96%;18,00%;11,67%;20,84%;20,86%
M. Líquida;8,19%;7,61%;4,39%;5,20%;7,73%;3,05%;8,76%;10,72%
ROE;16,87%;15,57%;9,05%;5,57%;11,60%;3,15%;22,40%;26,99%
ROA;4,04%;3,75%;2,26%;1,29%;3,00%;0,94%;4,39%;6,15%
ROIC;11,76%;10,02%;8,55%;6,90%;7,83%;4,25%;10,88%;11,06%
Giro ativos;0,49;0,49;0,51;0,25;0,39;0,31;0,50;0,57
CAGR Receitas 5 anos;30,58%;30,58%;33,63%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;30,64%;26,94%;11,77%;-%;-%;-%;-%;-%
