;2025;2024;2023
D.Y;-%;-%;-%
Div;;;
P/L;23.16;39.67;24.78
PEG Ratio;-;-;-
P/VP;3,12;4,23;3,68
EV/EBITDA;14,33;20,04;15,69
EV/EBIT;17,88;26,99;19,73
P/EBITDA;11,59;16,92;13,44
P/EBIT;14,46;22,79;16,90
VPA;5,55;5,05;5,85
P/Ativo;1,22;1,60;1,48
LPA;0.75;0.54;0.87
P/SR;2,21;2,64;2,67
P/Cap. Giro;-267,59;-190,93;62,76
P/Ativo Circ. Liq.;-1,56;-2,04;-1,90
Dív. líquida/PL;0,74;0,78;0,62
Dív. líquida/EBITDA;2,74;3,12;2,25
Dív. líquida/EBIT;3,41;4,20;2,83
PL/Ativos;0,39;0,38;0,40
Passivos/Ativos;0,61;0,62;0,60
Liq. corrente;0,98;0,96;1,12
M. Bruta;58,14%;57,97%;55,96%
M. EBITDA;19,08%;15,63%;19,86%
M. EBIT;15,29%;11,60%;15,80%
M. Líquida;9,55%;6,66%;10,77%
ROE;13,48%;10,65%;14,84%
ROA;5,26%;4,02%;5,97%
ROIC;9,23%;7,70%;9,82%
Giro ativos;0,55;0,60;0,55
CAGR Receitas 5 anos;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%
