;2025;2024;2023;2022;2021;2020
D.Y;-%;-%;-%;-%;-%;-%
Div;;;;;;
P/L;147.86;-2.29;-8.88;-3.13;11.84;12.01
PEG Ratio;-1,42;-;-;-;-;-
P/VP;1,99;0,76;0,61;0,49;1,03;1,40
EV/EBITDA;5,51;5,18;3,02;4,82;3,18;4,18
EV/EBIT;753,28;-6,42;-41,20;-9,51;11,02;11,76
P/EBITDA;3,92;2,23;1,24;1,63;1,67;2,19
P/EBIT;535,17;-2,77;-16,90;-3,21;5,76;6,16
VPA;14,54;13,87;18,54;19,38;22,93;21,51
P/Ativo;0,71;0,25;0,23;0,17;0,35;0,43
LPA;0.2;-4.61;-1.28;-3.03;1.99;2.51
P/SR;1,89;0,66;0,67;0,68;0,98;1,37
P/Cap. Giro;79,77;-14,98;-24,92;-22,63;3,13;4,80
P/Ativo Circ. Liq.;-0,82;-0,29;-0,26;-0,19;-0,44;-0,52
Dív. líquida/PL;0,81;1,00;0,88;0,96;0,94;1,27
Dív. líquida/EBITDA;1,60;2,94;1,78;3,19;1,52;1,99
Dív. líquida/EBIT;218,11;-3,65;-24,29;-6,30;5,25;5,60
PL/Ativos;0,36;0,33;0,37;0,35;0,34;0,31
Passivos/Ativos;0,64;0,67;0,63;0,65;0,65;0,68
Liq. corrente;1,07;0,89;0,93;0,93;2,10;1,99
M. Bruta;11,88%;41,58%;40,65%;39,55%;62,10%;63,83%
M. EBITDA;48,35%;29,53%;54,13%;41,90%;58,64%;62,70%
M. EBIT;0,35%;-23,83%;-3,97%;-21,24%;16,95%;22,27%
M. Líquida;1,28%;-28,77%;-7,57%;-21,80%;8,25%;11,42%
ROE;1,35%;-33,23%;-6,91%;-15,65%;8,67%;11,65%
ROA;0,48%;-10,82%;-2,55%;-5,50%;2,92%;3,58%
ROIC;-1,73%;-12,87%;-2,73%;-9,21%;6,94%;7,74%
Giro ativos;0,38;0,38;0,34;0,25;0,35;0,31
CAGR Receitas 5 anos;28,68%;31,39%;37,53%;13,41%;10,79%;12,21%
CAGR Lucros 5 anos;-%;-%;-%;-3,37%;3,35%;12,68%
