;2025;2024;2023;2022;2021;2020;2019;2018
D.Y;0,45%;1,63%;1,46%;1,42%;1,06%;0,89%;-%;-%
Div;0.39;1.51;1.31;1.11;0.92;0.6;;
P/L;25.36;22.38;25.87;25.92;29.7;32.3;;
PEG Ratio;-1,46;-;-;-;-;-;-;-
P/VP;-6,30;-7,60;-7,39;-6,67;-10,21;-7,64;-;-
EV/EBITDA;62,64;19,30;18,89;18,31;18,86;19,65;-0,72;0,00
EV/EBIT;85,72;21,01;20,68;20,16;20,81;22,13;-0,79;0,00
P/EBITDA;51,68;16,59;16,36;15,62;17,10;17,19;-;-
P/EBIT;70,72;18,06;17,91;17,21;18,87;19,37;-;-
VPA;-13,91;-12,19;-12,11;-11,74;-8,53;-8,85;-;-
P/Ativo;3,17;3,25;3,60;3,31;3,01;2,73;-;-
LPA;3.46;4.14;3.46;3.02;2.93;2.09;;
P/SR;2,39;2,58;2,56;2,37;2,59;2,29;-;-
P/Cap. Giro;-75,41;-466,10;-460,49;-46,40;18,37;-162,57;-;-
P/Ativo Circ. Liq.;-8,21;-10,10;-9,79;-8,84;-9,21;-6,94;-;-
Dív. líquida/PL;-;-;-;-;-;-;-0,65;-
Dív. líquida/EBITDA;10,96;2,71;2,53;2,68;1,76;2,46;-0,72;-
Dív. líquida/EBIT;15,00;2,95;2,77;2,95;1,94;2,77;-0,79;-
PL/Ativos;-0,50;-0,43;-0,49;-0,50;-0,30;-0,36;0,23;-
Passivos/Ativos;1,50;1,42;1,47;1,48;1,28;1,35;0,77;-
Liq. corrente;0,94;0,99;0,99;0,90;1,32;0,97;1,05;-
M. Bruta;7,49%;29,85%;29,51%;28,64%;29,33%;29,63%;29,17%;28,85%
M. EBITDA;4,62%;15,57%;15,65%;15,19%;15,13%;13,34%;15,20%;15,68%
M. EBIT;3,38%;14,30%;14,29%;13,80%;13,72%;11,85%;13,83%;14,21%
M. Líquida;9,41%;11,53%;9,90%;9,16%;8,71%;7,10%;8,51%;8,12%
ROE;-24,84%;-33,93%;-28,55%;-25,73%;-34,37%;-23,64%;50,02%;-%
ROA;12,51%;14,54%;13,90%;12,76%;10,15%;8,46%;11,52%;-%
ROIC;0,60%;49,88%;75,89%;72,13%;38,93%;49,55%;54,56%;-%
Giro ativos;1,33;1,26;1,40;1,39;1,16;1,19;1,35;-
CAGR Receitas 5 anos;1,68%;1,93%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;8,07%;6,03%;-%;-%;-%;-%;-%;-%
